fact_id,module,entity,source,metric,contract_count,totaal,years_with_data,query_ref,verified_at
PUB-SRC-159,publiek,Koninklijke Van der Most B.V.,COA,per_source_count,19,385019,7,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-160,publiek,BosruiterVastgoed B.V.,COA,per_source_count,18,11655018,2,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-161,publiek,Valk Exclusief Holding B.V.,COA,per_source_count,18,160900018,2,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-162,publiek,LnterSettle B.V.,COA,per_source_count,18,12855018,2,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-163,publiek,Avek BV,COA,per_source_count,18,7490018,7,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-164,publiek,BOS INCASSO,COA,per_source_count,18,90018,6,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-165,publiek,Viking Netherlands B.V.,COA,per_source_count,18,360018,4,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-166,publiek,Kroon B.V.,COA,per_source_count,18,375018,4,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-167,publiek,Service Centrum Auteurs,COA,per_source_count,18,90018,7,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-168,publiek,Spie Nederland B.V.,COA,per_source_count,18,33135018,6,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-169,publiek,Stedin Netbeheer B.V.,COA,per_source_count,18,2465016,7,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-170,publiek,Secutor Safety & Facility,COA,per_source_count,18,9565018,5,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-171,publiek,Dutch Offshore Energy Solution,COA,per_source_count,17,12670017,2,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-172,publiek,JS Consultancy B.V.,COA,per_source_count,17,4740017,7,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-173,publiek,Gom Schoonhouden BV,COA,per_source_count,17,15835017,6,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-174,publiek,W&J Molenaar B.V.,COA,per_source_count,17,8265017,3,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-175,publiek,Reisswolf Nederland B.V.,COA,per_source_count,17,775017,7,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-176,publiek,Dolmans Landscaping Group bv,COA,per_source_count,17,9985017,4,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-177,publiek,Handelsonderneming Doornbos De,COA,per_source_count,17,85017,6,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-178,publiek,Bax-shop.nl,COA,per_source_count,17,105016,7,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-179,publiek,Boels Verhuur B.V.,COA,per_source_count,17,795017,4,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-180,publiek,Bakker Vromans B.V.,COA,per_source_count,17,440017,7,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-181,publiek,Slaapschepen Accommodations BV,COA,per_source_count,17,41845017,2,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-182,publiek,Probin - THB groep b.v.,COA,per_source_count,17,110017,7,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-183,publiek,Sportbedrijf Arnhem,COA,per_source_count,17,135017,7,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-184,publiek,Mastermate VBT Groep,COA,per_source_count,17,1090016,1,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-185,publiek,Arriva,COA,per_source_count,17,2040015,7,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-186,publiek,"Triana Group, s.r.o.",COA,per_source_count,17,10445017,4,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-187,publiek,Bedrijfsfitness Nederland BV,COA,per_source_count,17,85017,7,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-188,publiek,Gemeente Rotterdam,COA,per_source_count,17,76820015,7,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-189,publiek,SoftwareONE Netherlands B.V.,COA,per_source_count,17,37080017,4,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-190,publiek,Karwei Burgum,COA,per_source_count,17,85017,7,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-191,publiek,Karwei,COA,per_source_count,17,85017,7,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-192,publiek,Gemeente Assen,COA,per_source_count,17,9195017,7,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-193,publiek,Integrated Facility Services B,COA,per_source_count,17,85017,5,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-194,publiek,ROi Mixed FleetAG,COA,per_source_count,17,16735017,2,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-195,publiek,Umami Catering NV,COA,per_source_count,17,112785017,7,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-196,publiek,Coop Supermarkten B.V.,COA,per_source_count,17,85017,4,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-197,publiek,Woningcorporatie De Woonplaats,COA,per_source_count,17,7670017,7,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-198,publiek,Tezet Business Gifts B.V.,COA,per_source_count,17,85017,7,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-199,publiek,Kaartje2go,COA,per_source_count,16,80016,4,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-200,publiek,GroeNoord,COA,per_source_count,16,80016,7,Q-PUB-02,2026-03-02T19:28:34Z
